,Current Value1($mil) ,1-Yr Value Change(%),Debt/Value3(%),Revenues ($mil),Operating Income4($mil)
Current Value1($mil) ,1,,,,
1-Yr Value Change(%),0.16303683,1,,,
Debt/Value3(%),-0.087633379,-0.196191124,1,,
Revenues ($mil),0.981135058,0.164960765,-0.082772528,1,
Operating Income4($mil),0.673176484,0.261120208,-0.223033103,0.689473252,1
